id,opensora2/multiple_objects,Sora_cla/multiple_objects,wan2.1_cla/multiple_objects,wan2.2_cla/multiple_objects,vidu_cla/multiple_objects,Kling-1.6_cla/multiple_objects,hunyuanvideo_cla/multiple_objects,veo_3_cla/multiple_objects,difficulty
a bird and a cat,1.0,0.6375,0.6875,0.9625,0.5625,0.6041666666666666,0.6,0.8125,level0
a cat and a dog,1.0,0.6875,0,0.675,0.5125,0.515625,0.9125,0.7625,level0
a dog and a horse,0.975,0.9875,0.09375,1.0,0.55,0.65625,1.0,1.0,level0
a horse and a sheep,1.0,0.975,1.0,1.0,0.6875,0.65625,0.8625,1.0,level0
a sheep and a cow,1.0,0.7125,0.90625,1.0,0.5875,0.765625,0.9125,0.9875,level0
a cow and an elephant,0.53125,0.8375,0.625,0.8375,0.6625,0.984375,1.0,1.0,level0
an elephant and a bear,0.5375,0.625,0,0.9625,0.775,0.25,0.7875,1.0,level0
a bear and a zebra,1.0,1.0,0,0.9,0.8625,0.2708333333333333,0.825,0.9875,level0
a zebra and a giraffe,0.875,0.8375,0.84375,1.0,0.7375,0.84375,1.0,1.0,level0
a giraffe and a bird,0.925,0.8125,1.0,1.0,0.525,0.9375,0.9125,1.0,level0
a chair and a couch,0.9875,0.7875,1.0,1.0,0.725,1.0,0.575,0.875,level0
a couch and a potted plant,1.0,1.0,1.0,1.0,0.975,1.0,0.8375,1.0,level0
a potted plant and a tv,0.9,0.8125,1.0,1.0,0.8625,1.0,0.9125,1.0,level0
a tv and a laptop,0.9875,1.0,1.0,1.0,0.7,0.953125,0.9625,0.975,level0
a laptop and a remote,0.6458333333333334,0.8375,1.0,1.0,0.796875,0.9375,0.6625,1.0,level0
a remote and a keyboard,0.9875,0.8625,1.0,1.0,0.775,0.578125,0.84375,1.0,level0
a keyboard and a cell phone,0.75,1.0,1.0,1.0,0.984375,0.875,0.65,0.95,level0
a cell phone and a book,0.859375,0.75,0.875,0.975,0.7375,0.46875,0.78125,0.96875,level0
a book and a clock,0.9625,0.875,1.0,1.0,0.925,1.0,0.925,1.0,level0
a clock and a backpack,1.0,0.890625,1.0,1.0,0.5625,0.4375,0.78125,0.4375,level0
a backpack and an umbrella,0.65,0.8375,0.375,1.0,0.296875,0.5833333333333334,0.4625,0,level0
an umbrella and a handbag,1.0,1.0,0.71875,0.9875,0.775,0.78125,0.453125,0.828125,level0
a handbag and a tie,0.796875,0.546875,0.421875,0.4375,0.22916666666666666,0.484375,0.5625,0.5833333333333334,level0
a tie and a suitcase,0.8125,0.55,0.859375,0.7875,0.5208333333333334,0.78125,0.7875,0.65625,level0
a suitcase and a vase,0.6875,0.6041666666666666,1.0,1.0,0.825,0.921875,0.6375,0.9875,level0
a vase and scissors,1.0,0.775,0.984375,1.0,0.5416666666666666,0.890625,0.725,0.825,level0
scissors and a teddy bear,1.0,0.925,1.0,0.7083333333333334,0.775,0.8125,0.6125,1.0,level0
a teddy bear and a frisbee,0.9875,0.875,0.625,0.8,0.7,0.65625,0.9,1.0,level0
a frisbee and skis,0.475,0.3125,0.3125,0.53125,0.328125,0.2916666666666667,0.65625,0.6625,level0
skis and a snowboard,0.390625,0.71875,1.0,0.28125,0.5,1.0,0.125,0.875,level0
a snowboard and a sports ball,0.8375,0.9875,0.578125,1.0,0.46875,0.6666666666666666,0.4125,0.8333333333333334,level0
a sports ball and a kite,0.6625,0.953125,0.625,1.0,0.15625,0.14583333333333334,0.9875,0.6875,level0
a kite and a baseball bat,1.0,0.1875,0.75,0.6458333333333334,0.9166666666666666,0.515625,0.4125,0.3125,level0
a baseball bat and a baseball glove,0.9375,0.609375,0.84375,0.9875,0.8375,0.671875,0.7625,0.9791666666666666,level0
a baseball glove and a skateboard,1.0,0.4875,0.7916666666666666,1.0,0.4375,0.375,0.609375,0.875,level0
