id,opensora2/object_class,Sora_cla/object_class,wan2.1_cla/object_class,wan2.2_cla/object_class,vidu_cla/object_class,Kling-1.6_cla/object_class,hunyuanvideo_cla/object_class,veo_3_cla/object_class,difficulty
a person,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bicycle,1.0,1.0,1.0,1.0,0.975,0.9375,0.7625,1.0,level0
a car,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,level0
a motorcycle,0.95,0.9625,1.0,1.0,1.0,1.0,0.825,1.0,level0
an airplane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bus,1.0,1.0,1.0,0.925,0.925,0.984375,0.9375,1.0,level0
a train,1.0,1.0,1.0,0.9875,1.0,0.765625,1.0,1.0,level0
a truck,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a boat,0.9375,0.95,1.0,1.0,0.9875,1.0,0.9875,1.0,level0
a traffic light,0.825,1.0,1.0,1.0,0.9625,0.765625,1.0,1.0,level0
a fire hydrant,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,level0
a stop sign,1.0,1.0,1.0,1.0,0.9125,1.0,0.95,1.0,level0
a parking meter,1.0,0.9875,1.0,1.0,0.7125,0.828125,0.675,1.0,level0
a bench,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bird,1.0,1.0,0.90625,1.0,0.975,1.0,1.0,1.0,level0
a cat,1.0,1.0,0.484375,1.0,1.0,0.921875,1.0,1.0,level0
a dog,1.0,1.0,1.0,1.0,0.975,0.9375,1.0,1.0,level0
a horse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a sheep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a cow,1.0,1.0,1.0,1.0,0.9375,0.953125,1.0,1.0,level0
an elephant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bear,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,level0
a zebra,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,level0
