id,opensora2/appearance_style,Sora_cla/appearance_style,wan2.1_cla/appearance_style,wan2.2_cla/appearance_style,vidu_cla/appearance_style,Kling-1.6_cla/appearance_style,hunyuanvideo_cla/appearance_style,veo_3_cla/appearance_style,difficulty
"A beautiful coastal beach in spring, waves lapping on sand, Van Gogh style",0.2131899224806202,0.3151047916666667,0.2677821180555555,0.23078279320987655,0.2189667338709677,0.17815344592842322,0.2041780523255814,0.3026202799479167,level0
"A beautiful coastal beach in spring, waves lapping on sand, oil painting",0.2537364341085272,0.206876875,0.2635252700617284,0.24343132716049384,0.2135516633064516,0.22730987422199167,0.2574040697674419,0.2297615559895833,level0
"A beautiful coastal beach in spring, waves lapping on sand by Hokusai, in the style of Ukiyo",0.3024607558139535,0.29170520833333335,0.23113136574074075,0.2267229938271605,0.21428679435483872,0.17540642829356845,0.18922238372093023,0.26641455078125,level0
"A beautiful coastal beach in spring, waves lapping on sand, black and white",0.24846826550387596,0.23720083333333336,0.16414279513888888,0.1617212577160494,0.186172127016129,0.235086229253112,0.2432747093023256,0.24171289062499998,level0
"A beautiful coastal beach in spring, waves lapping on sand, pixel art",0.27351065891472864,0.30142541666666667,0.2784375,0.2889552469135802,0.26735282258064513,0.21890625,0.23491593992248064,0.29306998697916664,level0
"A beautiful coastal beach in spring, waves lapping on sand, in cyberpunk style",0.17632461240310077,0.230540625,0.25134403935185184,0.251429012345679,0.19641607862903226,0.2399247925311203,0.15247880329457364,0.26131005859374995,level0
"A beautiful coastal beach in spring, waves lapping on sand, animated style",0.24517272286821706,0.2187322916666667,0.23913532021604939,0.24167399691358024,0.22991406250000002,0.23102842971991702,0.2278892926356589,0.23614680989583334,level0
"A beautiful coastal beach in spring, waves lapping on sand, watercolor painting",0.2744115794573644,0.28468249999999995,0.2380656828703704,0.25402816358024694,0.2246350806451613,0.24150350103734441,0.23858502906976745,0.26596923828124996,level0
"A beautiful coastal beach in spring, waves lapping on sand, surrealism style",0.22938275193798446,0.25447604166666665,0.21745900848765432,0.21844560185185186,0.2114576612903226,0.23687435165975104,0.22036555232558142,0.2516472981770833,level0
"The bund Shanghai, Van Gogh style",0.25113929263565893,0.276353125,0.1694970100308642,0.16543576388888886,0.2650452368951613,0.17031995591286309,0.28422553294573644,0.31023209635416665,level0
"The bund Shanghai, oil painting",0.21194718992248066,0.21669916666666666,0.16885681905864197,0.18875887345679015,0.19282106854838704,0.1939480679460581,0.20074927325581396,0.19890006510416666,level0
"The bund Shanghai by Hokusai, in the style of Ukiyo",0.2375436046511628,0.2574014583333334,0.2687934027777778,0.1638377700617284,0.23362903225806453,0.19900058350622407,0.28772577519379844,0.2605040690104167,level0
"The bund Shanghai, black and white",0.2161911337209302,0.2327410416666667,0.20884693287037034,0.20166203703703706,0.2071615423387097,0.19437273080912865,0.21868095930232562,0.22718619791666667,level0
"The bund Shanghai, pixel art",0.2521749031007752,0.30567979166666664,0.2419222608024691,0.22016820987654317,0.20668094758064517,0.18805951763485476,0.23007546027131784,0.20301180013020836,level0
"The bund Shanghai, in cyberpunk style",0.2366472868217054,0.23202833333333334,0.21467689043209878,0.21584722222222222,0.2550037802419355,0.21199494294605808,0.2197172965116279,0.2504913736979167,level0
"The bund Shanghai, animated style",0.22863008720930234,0.22940562499999997,0.24217689043209875,0.17970563271604936,0.24179158266129033,0.17884854771784234,0.21578561046511627,0.18973030598958335,level0
"The bund Shanghai, watercolor painting",0.22588275193798452,0.2519929166666667,0.2406954089506173,0.1851500771604938,0.22643397177419353,0.19039273210580912,0.2304126695736434,0.24144970703125002,level0
