id,opensora2/aesthetic_quality,opensora2/imaging_quality,opensora2/overall_consistency,Sora_cla/aesthetic_quality,Sora_cla/imaging_quality,Sora_cla/overall_consistency,wan2.1_cla/aesthetic_quality,wan2.1_cla/imaging_quality,wan2.1_cla/overall_consistency,wan2.2_cla/aesthetic_quality,wan2.2_cla/imaging_quality,wan2.2_cla/overall_consistency,vidu_cla/aesthetic_quality,vidu_cla/imaging_quality,vidu_cla/overall_consistency,Kling-1.6_cla/aesthetic_quality,Kling-1.6_cla/imaging_quality,Kling-1.6_cla/overall_consistency,hunyuanvideo_cla/aesthetic_quality,hunyuanvideo_cla/imaging_quality,hunyuanvideo_cla/overall_consistency,veo_3_cla/aesthetic_quality,veo_3_cla/imaging_quality,veo_3_cla/overall_consistency,difficulty
Close up of grapes on a rotating table.,0.6721400618553162,0.6357988439160723,0.22314864099025727,0.5573293805122376,0.6595991440327962,0.25494968593120576,0.6297530233860016,0.6747801857230105,0.20857205241918564,0.7236867189407349,0.7709871558672117,0.1923741042613983,0.5837030053138733,0.6426117922259915,0.24292493164539336,0.629355251789093,0.6863918792360552,0.24332616478204727,0.6276800274848938,0.7354777030057686,0.22877557277679444,0.5925569772720337,0.6642513087590536,0.2576623260974884,level0
Turtle swimming in ocean.,0.6612317562103271,0.7408518310073735,0.2655798554420471,0.6696968674659729,0.7294246340942382,0.24079192578792571,0.6880461424589157,0.7409123252350608,0.25343799591064453,0.7335058093070984,0.7225553496560932,0.251129812002182,0.6459689617156983,0.7222970403855846,0.2303008109331131,0.6585618555545807,0.7118759741723785,0.21524610742926598,0.6267964959144592,0.7266534833094871,0.24882183074951172,0.6811819314956665,0.7384131568272909,0.25369721055030825,level0
A storm trooper vacuuming the beach.,0.760569167137146,0.7618723578637885,0.3455717206001282,0.7002901315689087,0.7701947588094076,0.318431031703949,0.6817639619112015,0.7477021737746251,0.31179363280534744,0.7368870735168457,0.7591319964373553,0.3390487492084503,0.6733012437820435,0.7524024765260757,0.3115527153015137,0.7343899607658386,0.7558532702180855,0.3589728772640228,0.723330020904541,0.7459103559153949,0.35937097668647766,0.7450478672981262,0.7773076572418212,0.3450287640094757,level0
A panda standing on a surfboard in the ocean in sunset.,0.6463817834854126,0.5870225496809612,0.3397270917892456,0.6653686046600342,0.6834297382609049,0.33558491468429563,0.6453620046377182,0.7390796578960654,0.33860406279563904,0.6739953041076661,0.7118645834275233,0.30848081707954406,0.6676944375038147,0.7218673622992731,0.36320375800132754,0.6873540729284286,0.7097828618124807,0.3637748584151268,0.6677294850349427,0.7134196248017541,0.348288232088089,0.6891000628471374,0.6801378907759984,0.3511709690093994,level0
"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",0.6695278644561767,0.6835034991715305,0.3011522352695465,0.6890933513641357,0.7490605641682944,0.2919718325138092,0.7045534402132034,0.7738966395531172,0.29283401370048523,0.768140721321106,0.7452118179886429,0.3196532905101776,0.6740572690963745,0.6616627992814588,0.31639779806137086,0.6854060888290405,0.7204754327639504,0.30705124884843826,0.6488213539123535,0.6973710240208825,0.27686781287193296,0.7144565939903259,0.776029175043106,0.28985514044761657,level0
Two pandas discussing an academic paper.,0.558105218410492,0.7079186628474745,0.2949465334415436,0.6163548827171326,0.6977289938354492,0.2865662932395935,0.6080031245946884,0.7418469622105728,0.24010001868009567,0.6129644870758056,0.6842591617725514,0.24748766422271729,0.5924826979637146,0.7328647442479287,0.2697160869836807,0.6134657710790634,0.7129754229502064,0.27082376927137375,0.5591936945915222,0.6784002583821614,0.2674622297286987,0.6003421664237976,0.7143604159355162,0.2808208703994751,level0
Sunset time lapse at the beach with moving clouds and colors in the sky.,0.6311648488044739,0.5816663713676984,0.2866742432117462,0.6546085476875305,0.5367640023295085,0.28102911710739137,0.7959236204624176,0.7361824307618319,0.17332816869020462,0.7636263608932495,0.7174882832279911,0.23314893245697021,0.6220582127571106,0.583611132037255,0.22684806287288667,0.6399537324905396,0.6925301402238395,0.2266988717019558,0.605302381515503,0.4603655604872593,0.2761728733778,0.6243943214416504,0.4381398999492328,0.22672058045864105,level0
A fat rabbit wearing a purple robe walking through a fantasy landscape.,0.7256115555763245,0.6841211142576943,0.21672290861606597,0.5819324970245361,0.6813352547709146,0.04727357178926468,0.6944345533847809,0.7475567563374838,0.22141804173588753,0.7698774456977844,0.7516008009733977,0.2946173489093781,0.7090173959732056,0.7154698734898721,0.3557362139225006,0.7189048081636429,0.7506930376978831,0.20420200750231743,0.7314690947532654,0.7053144203008607,0.3071266233921051,0.733135986328125,0.7597226458390554,0.31996129155159,level0
A koala bear playing piano in the forest.,0.620594596862793,0.70415318392968,0.3540563821792603,0.617999792098999,0.7236673832702637,0.3646843135356903,0.6318860054016113,0.701630510871793,0.32605957984924316,0.6256463766098023,0.6728452386738341,0.31522432565689085,0.6110883355140686,0.7081444432658535,0.3213468551635742,0.6913213282823563,0.7205075225592649,0.3358380049467087,0.5839887022972107,0.7303190202934797,0.3467427909374237,0.6011792540550231,0.7679371820290883,0.354878431558609,level0
An astronaut flying in space.,0.6395303845405579,0.6090005920765013,0.2609652131795883,0.6707316040992737,0.6628900424448648,0.2447187840938568,0.6705565303564072,0.6325785267205886,0.1948062740266323,0.7141103506088257,0.6179862939340097,0.24582114815711975,0.6499091982841492,0.678687135911757,0.24064162969589234,0.7435444444417953,0.6938065053219618,0.20870089903473854,0.630937147140503,0.7063867614509522,0.2576456606388092,0.6696961998939515,0.6619170310894649,0.23940173387527466,level0
Fireworks.,0.6474791169166565,0.42750580954736517,0.21847492456436157,0.6987538933753967,0.5484016929626465,0.22088936269283294,0.7118041515350342,0.5473057680954168,0.2164849378168583,0.7392977833747864,0.6004554074134356,0.20456262528896332,0.6041791796684265,0.531385876517142,0.20565244257450105,0.6823344230651855,0.6342320332982233,0.2002490907907486,0.6212493777275085,0.4991713155997816,0.2136795073747635,0.660953676700592,0.47545790203412375,0.21216517686843872,level0
An animated painting of fluffy white clouds moving in sky.,0.4897607326507568,0.5338679055797961,0.26875628530979156,0.4660456120967865,0.6283381945292155,0.26373748779296874,0.5425632297992706,0.5405497821760766,0.24616603925824165,0.632599937915802,0.5746648794103552,0.2538086324930191,0.5028015553951264,0.3270274752032372,0.24335238635540007,0.5733012408018112,0.6264374258508326,0.25942643731832504,0.5000229477882385,0.6444566325106361,0.20671687722206117,0.5068712294101715,0.5473221947749456,0.3029390275478363,level0
Flying through fantasy landscapes.,0.6887940883636474,0.7399148396928181,0.20860158503055573,0.7552829146385193,0.7514844196065267,0.22840776443481445,0.7019357681274414,0.7373696698082819,0.23862287774682045,0.7282244086265564,0.7571194071828583,0.24745894074440003,0.5713746905326843,0.4939743034608902,0.19966908693313598,0.6958323419094086,0.6857226209521788,0.23288843035697937,0.6531264185905457,0.5463353774787844,0.20364037454128264,0.6951329469680786,0.6688378150463103,0.22390743792057038,level0
A bigfoot walking in the snowstorm.,0.7296056151390076,0.6996715343978053,0.30932055711746215,0.664949893951416,0.7103113218180339,0.32545406818389894,0.6461671888828278,0.7216951122990362,0.2595634385943413,0.7310330510139466,0.6316706600424684,0.285277909040451,0.6409336566925049,0.6172671577853541,0.2924134850502014,0.6221169978380203,0.6995565678370939,0.297989659011364,0.674969744682312,0.7315718010007873,0.29802480936050413,0.5742762446403503,0.5819178394873937,0.3064473390579224,level0
A squirrel eating a burger.,0.682539188861847,0.665160807232524,0.32940195202827455,0.682728362083435,0.6502347595214844,0.30348052978515627,0.7275272309780121,0.7484571960825979,0.3340929225087166,0.7621649026870727,0.728170942141686,0.31908756494522095,0.6395950794219971,0.7071498614588091,0.34373742938041685,0.6953761875629425,0.7072358078382817,0.29934440553188324,0.6469056844711304,0.7073706996237584,0.32810560464859007,0.6721284508705139,0.7022314985195796,0.339113312959671,level0
