id,opensora2/spatial_relationship,Sora_cla/spatial_relationship,wan2.1_cla/spatial_relationship,wan2.2_cla/spatial_relationship,vidu_cla/spatial_relationship,Kling-1.6_cla/spatial_relationship,hunyuanvideo_cla/spatial_relationship,veo_3_cla/spatial_relationship,difficulty
"a bicycle on the left of a car, front view",1.0,1.0,1.0,0.9570010791606498,1.0,1.0,1.0,1.0,level0
"a car on the right of a motorcycle, front view",1.0,1.0,0.8873940760906693,1.0,0.9723728764617284,1.0,0.9875,0.9930547991831178,level0
"a motorcycle on the left of a bus, front view",0.88127152471755,0.6917684062483082,1.0,0.7684323116106222,0.8446520790526535,0.9638307347888888,0.5263236664282243,0.7925900460665689,level0
"a bus on the right of a traffic light, front view",1.0,1.0,0.9269187127976191,1.0,0.975,0.9086146421615957,0.9580798787941933,1.0,level0
"a traffic light on the left of a fire hydrant, front view",1.0,0.8329301672770144,1.0,1.0,0.9400427293773905,0.34375,1.0,1.0,level0
"a fire hydrant on the right of a stop sign, front view",1.0,0.9375,1.0,1.0,1.0,1.0,0.9071812290969901,1.0,level0
"a stop sign on the left of a parking meter, front view",1.0,1.0,1.0,0.7672187991944932,0.9375,0.787570323488045,0.9125,1.0,level0
"a parking meter on the right of a bench, front view",0.9791328736148174,0.8195125123328463,0.8582943228251112,1.0,0.5210357763024119,1.0,1.0,1.0,level0
"a bench on the left of a truck, front view",0.7857801389885561,0.42135841035593175,0.39834341845160565,0.9682551618203361,0.8347859397870616,0.755765737947185,0.8122656067673398,0.8693216173553207,level0
"a truck on the right of a bicycle, front view",0.6326569248260874,0.7387873636500949,0.5625,0.8969692886337514,0.9144057096822751,0.875,0.7554396860085137,0.9903092361761473,level0
"a bird on the left of a cat, front view",1.0,1.0,1.0,1.0,0.8894167187175268,1.0,1.0,1.0,level0
"a cat on the right of a dog, front view",1.0,0.9496522948557186,0.6875,1.0,0.9031079473471818,1.0,0.7723740244494702,1.0,level0
"a dog on the left of a horse, front view",1.0,1.0,0.9282872840694048,1.0,1.0,1.0,1.0,1.0,level0
"a horse on the right of a sheep, front view",1.0,1.0,1.0,1.0,0.9038656383532959,1.0,1.0,1.0,level0
"a sheep on the left of a cow, front view",0.975,0.9390114485852958,0.9828209316759549,1.0,0.8782495502777902,1.0,1.0,1.0,level0
"a cow on the right of an elephant, front view",1.0,1.0,0.8818277657249636,1.0,0.9875,1.0,1.0,1.0,level0
"an elephant on the left of a bear, front view",1.0,1.0,1.0,1.0,0.9616561479215257,1.0,1.0,1.0,level0
"a bear on the right of a zebra, front view",1.0,1.0,1.0,0.9910323620730834,0.7377545614770877,0.9881926162432325,0.8072080950602535,1.0,level0
"a zebra on the left of a giraffe, front view",0.9776234005076931,0.9513519491767543,1.0,1.0,0.7484759452070755,1.0,1.0,1.0,level0
"a giraffe on the right of a bird, front view",1.0,0.834294250223981,1.0,1.0,0.6795540099303595,1.0,1.0,1.0,level0
"a bottle on the left of a wine glass, front view",0.516895902753745,0.5461400029285037,1.0,1.0,0.975,1.0,0.8565507874551758,0.984375,level0
"a wine glass on the right of a cup, front view",0.6200574137079645,1.0,1.0,0.9723128313922507,0.8627064552462475,1.0,0.8157009127074819,1.0,level0
"a cup on the left of a fork, front view",0.7108764091287175,1.0,0.6771385405665639,1.0,0.655367447485031,0.9842209153165913,0.7290829890065634,1.0,level0
"a fork on the right of a knife, front view",0.9921574680869231,0.8350166873508915,0.6789329740986655,0.7244990639397065,0.6414897789577011,0.7423405162119402,0.7064549181124642,1.0,level0
"a knife on the left of a spoon, front view",0.8125,0.536815103840339,1.0,0.9851863701746194,0.7508344948918604,0.6522413329957879,0.9375,0.9152188740367102,level0
"a spoon on the right of a bowl, front view",0.5524410573593256,0.875,0.875,1.0,0.7375,0.9634914524271688,0.40265529778497755,1.0,level0
"a bowl on the left of a bottle, front view",0.6893516007715216,1.0,1.0,0.6729604558706613,0.96875,0.984375,0.875,0.9125,level0
"a potted plant on the left of a remote, front view",0.7893541755297135,0.7079915325486428,0.5456855467137345,0.6450398823529779,0.9352258015588225,0.6803111388132771,0.9700908842779625,0.912335681760949,level0
"a remote on the right of a clock, front view",1.0,0.9570108327350588,1.0,0.8242603424657535,0.7636604443460387,0.5995070245345954,0.9625,1.0,level0
"a clock on the left of a vase, front view",0.9988195981382096,1.0,1.0,1.0,1.0,0.9822518929590589,0.9545074744773941,1.0,level0
"a vase on the right of scissors, front view",0.8988605384225149,0.7627194228171306,0.6602942433803585,1.0,0.9335738919041159,0.717549498504658,1.0,1.0,level0
"scissors on the left of a teddy bear, front view",0.9923215030693129,0.9891570129806517,0.7937255443368668,1.0,1.0,0.6669692630476298,0.9896408769818871,1.0,level0
"a teddy bear on the right of a potted plant, front view",0.9910833167998468,0.9898221842864107,1.0,1.0,0.9843253519535031,0.9287008938474322,1.0,1.0,level0
"a frisbee on the left of a sports ball, front view",0.8375,0.9445189784476764,0.765625,0.9625,0.6817469129397403,0.8626337050414707,0.8625,0.9625,level0
"a sports ball on the right of a baseball bat, front view",0.9904773255610078,0.7513712843037375,0.7784527986760603,0.9832668422654872,0.7362838233931587,0.7191708512677122,0.3046937727381636,0.7738082047887648,level0
"a baseball bat on the left of a baseball glove, front view",0.9250270887346814,0.5206562252583044,0.25630118485179737,0.7797499092135264,0.8313146280406546,0.6593244375644135,0.8155266835575394,0.8509340164404084,level0
"a baseball glove on the right of a tennis racket, front view",0.9705934742058051,0.5857508053373213,0.2753342457166794,0.6773652607548903,0.48709451793598885,0.6393189920596337,0.644091038140687,0.947368547560161,level0
"a tennis racket on the left of a frisbee, front view",0.6240737655670995,0.6039591220519995,0.6417554948959558,0.7969682606719649,0.7027690622303748,0.6191250576390616,0.7607199937698775,0.7843648514921583,level0
"a toilet on the left of a hair drier, front view",1.0,0.7875,0.8944270949448118,0.825,1.0,0.953125,0.9338922604163897,1.0,level0
"a hair drier on the right of a toothbrush, front view",0.96875,0.7015667860728274,0.7661712157765146,0.7523166757287912,0.47450886181436047,0.5495763408664933,0.346740349482878,0.7762905628665393,level0
"a toothbrush on the left of a sink, front view",0.8191154534109474,0.8543919719734123,0.9043804256443998,0.9539070496868541,0.8749574772375569,0.8419765942275833,0.9356380042652805,1.0,level0
"a sink on the right of a toilet, front view",0.9125,0.9875,0.8894430095382273,0.8442425229666387,1.0,1.0,1.0,1.0,level0
"a chair on the left of a couch, front view",0.875,1.0,1.0,1.0,1.0,1.0,0.9637934994779351,1.0,level0
"a couch on the right of a bed, front view",1.0,1.0,1.0,1.0,1.0,0.9994224165257819,0.9218523620439999,1.0,level0
"a bed on the left of a tv, front view",1.0,1.0,1.0,1.0,1.0,1.0,0.9125,1.0,level0
"a tv on the right of a dining table, front view",0.9,0.38901382933047046,1.0,1.0,0.8834083930184518,0.9532883891019625,0.8688458719344825,0.9683873898708921,level0
"a dining table on the left of a chair, front view",1.0,1.0,0.9067768287050031,0.7910414958083971,0.9061435459985188,0.8937181101128443,0.8193607584928477,1.0,level0
"an airplane on the left of a train, front view",0.8625,1.0,0.96875,0.9847303738067863,0.9198634749013929,0.9264492405789432,0.8797080974581016,1.0,level0
